host,ip,collector_hostname,timestamp,feature,value,anomaly_score,anomaly_flag,anomaly_type,anomaly_timestamp
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ifInOctets11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ifOutOctets11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ifOutDiscards11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ifInUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ifInNUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ifInDiscards11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ifOutUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ifOutNUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,tcpOutRsts,4565.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,tcpInSegs,2665347.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,tcpOutSegs,1082652.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,tcpPassiveOpens,20916.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,tcpRetransSegs,11725.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,tcpCurrEstab,71.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,tcpEstabResets,838.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,tcpActiveOpens,40579.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,udpInDatagrams,42068.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,udpOutDatagrams,18576.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,udpInErrors,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,udpNoPorts,3834.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ipInReceives,1294140.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ipInDelivers,1161670.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ipOutRequests,556326.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ipOutDiscards,2602.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ipInDiscards,5101.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ipForwDatagrams,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ipOutNoRoutes,3.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,ipInAddrErrors,427.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,icmpInMsgs,3747.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,icmpInDestUnreachs,3746.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,icmpOutMsgs,3436.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,icmpOutDestUnreachs,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,icmpInEchos,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:40:56.158375,icmpOutEchoReps,1.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ifInOctets11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ifOutOctets11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ifOutDiscards11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ifInUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ifInNUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ifInDiscards11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ifOutUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ifOutNUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,tcpOutRsts,4565.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,tcpInSegs,2665780.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,tcpOutSegs,1083081.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,tcpPassiveOpens,20927.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,tcpRetransSegs,11726.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,tcpCurrEstab,79.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,tcpEstabResets,838.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,tcpActiveOpens,40590.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,udpInDatagrams,42079.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,udpOutDatagrams,18579.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,udpInErrors,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,udpNoPorts,3834.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ipInReceives,1294184.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ipInDelivers,1161835.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ipOutRequests,556488.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ipOutDiscards,2602.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ipInDiscards,5101.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ipForwDatagrams,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ipOutNoRoutes,3.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,ipInAddrErrors,428.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,icmpInMsgs,3747.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,icmpInDestUnreachs,3746.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,icmpOutMsgs,3436.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,icmpOutDestUnreachs,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,icmpInEchos,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:06.455505,icmpOutEchoReps,1.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ifInOctets11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ifOutOctets11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ifOutDiscards11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ifInUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ifInNUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ifInDiscards11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ifOutUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ifOutNUcastPkts11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,tcpOutRsts,4566.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,tcpInSegs,2666129.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,tcpOutSegs,1083427.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,tcpPassiveOpens,20933.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,tcpRetransSegs,11727.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,tcpCurrEstab,77.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,tcpEstabResets,838.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,tcpActiveOpens,40596.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,udpInDatagrams,42105.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,udpOutDatagrams,18581.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,udpInErrors,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,udpNoPorts,3836.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ipInReceives,1294246.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ipInDelivers,1161954.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ipOutRequests,556583.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ipOutDiscards,2602.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ipInDiscards,5101.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ipForwDatagrams,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ipOutNoRoutes,3.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,ipInAddrErrors,428.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,icmpInMsgs,3747.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,icmpInDestUnreachs,3746.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,icmpOutMsgs,3436.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,icmpOutDestUnreachs,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,icmpInEchos,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:16.599780,icmpOutEchoReps,1.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:26.717301,ifInOctets11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:26.717301,ifOutOctets11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:26.717301,ifOutDiscards11,0.0,-0.03832546395679148,Normal,,
localhost,127.0.0.1:161,local-producer,2026-05-14T12:41:26.717301,ifInUcastPkts11,0.0,-0.03832546395679148,Normal,,
