host,ip,collector_hostname,timestamp,feature,value
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,tcpOutRsts,2479
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,tcpInSegs,621371
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,tcpOutSegs,706561
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,tcpPassiveOpens,343
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,tcpCurrEstab,42
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,tcpEstabResets,1083
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,tcpActiveOpens,6479
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,udpInDatagrams,700836
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,udpOutDatagrams,148554
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,udpNoPorts,2313
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ipInReceives,1272183
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ipInDelivers,1268390
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ipOutRequests,816409
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ipOutDiscards,35
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ipInDiscards,2488
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ipForwDatagrams,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:32.396121,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,tcpOutRsts,2479
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,tcpInSegs,622970
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,tcpOutSegs,709641
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,tcpPassiveOpens,344
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,tcpCurrEstab,45
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,tcpEstabResets,1083
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,tcpActiveOpens,6484
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,udpInDatagrams,700873
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,udpOutDatagrams,148584
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,udpNoPorts,2313
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipInReceives,1273710
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipInDelivers,1269917
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipOutRequests,819416
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipOutDiscards,35
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipInDiscards,2488
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipForwDatagrams,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifOutDiscards1,0
