ifInOctets11,ifOutOctets11,ifoutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcp?ActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
402610,84419,0,1346,21,0,888,54,0,2512,529,10,1,18,0,2,143,79,0,0,3223,2944,3171,1,0,1,1,0,0,1,1,1,0,0,normal
474400,115312,0,1539,27,0,1285,58,0,2817,758,11,1,26,0,3,180,101,0,0,3446,3187,3424,1,0,1,1,0,0,1,1,1,0,0,normal
546066,142720,0,1794,32,0,1694,61,0,3162,927,12,1,38,0,4,207,127,0,0,3670,3442,3660,1,0,1,1,0,0,1,1,1,0,0,normal
606024,172823,0,1951,38,0,2086,67,0,3459,1109,13,1,46,0,5,243,148,0,0,3887,3678,3878,1,0,1,1,0,0,1,1,1,0,0,normal
676651,208256,0,2183,43,0,2487,74,0,3691,1432,14,1,55,0,6,270,168,0,0,4237,4006,4061,1,0,1,1,0,0,1,1,1,0,0,normal
733130,260153,0,2416,49,0,2717,80,0,3998,1677,15,1,69,0,7,301,185,0,0,4555,4297,4223,1,0,1,1,0,0,1,1,1,0,0,normal
780054,296019,0,2623,54,0,3031,86,0,4323,1830,16,1,81,0,8,341,205,0,0,4817,4581,4470,1,0,1,1,0,0,1,1,1,0,0,normal
826686,334944,0,2890,61,0,3373,90,0,4658,2083,17,1,91,0,9,374,220,0,0,5013,4823,4623,1,0,1,1,0,0,1,1,1,0,0,normal
887983,374951,0,3143,66,0,3699,97,0,4893,2272,18,1,99,0,10,399,243,0,0,5271,5056,4888,1,0,1,1,0,0,1,1,1,0,0,normal
959317,414308,0,3429,74,0,4056,101,0,5119,2483,19,1,110,0,11,435,262,0,0,5499,5307,5106,1,0,1,1,0,0,1,1,1,0,0,normal
1004531,469448,0,3715,81,0,4308,106,0,5468,2714,20,1,119,0,12,458,285,0,0,5720,5534,5383,1,0,1,1,0,0,1,1,1,0,0,normal
